"ID","Price","Bedroom amount","Bathroom amount","Area","Floor amount","Air conditioner","BBQ","Receptionists","GYM","Garden","Library","Park","Playground","Guard","Pool","Tennis court","Wifi","Location","Type","Near transport","Furnished"
"30bc397b-17b7-4470-b0e0-b063b6e2cfc7","95000000000","83","83","0","8","1","1","1","1","1","0","1","1","1","0","0","1","quang-nam","villas","0","fully"
"1018f246-8d72-46e6-9260-698c690f73cf","1900000000","80","2","80","25","1","1","0","1","1","1","1","1","1","1","1","1","binh-duong","condos","0","fully"
"34b5280f-a11d-4c04-a14c-f060cce73102","2700000000","80","2","80","2","1","1","1","1","1","1","1","1","1","1","1","1","ha-noi","condos","0",""
"a8163a85-9ca4-4794-a59d-c104c8d47a2b","11900000000","60","4","0","5","0","0","0","0","0","0","0","0","0","0","0","0","ho-chi-minh","houses","0",""
"f7539053-7e61-41cb-84ee-b1fe6745f70e","2800000000","56","4","56","4","1","0","0","0","1","0","0","0","1","0","0","0","ha-noi","houses","0",""
"e344062a-6448-4fad-ae3d-d7f99d262dca","120000000","33","3","150","3","0","0","0","0","0","0","0","0","0","0","0","0","binh-duong","houses","0",""
"11f131fb-2f1f-47ba-812a-0a0485fe85f7","1280000000","33","2","125","2","0","0","0","0","0","0","0","0","0","0","0","0","binh-duong","houses","0",""
"d729edfc-ae48-47b9-b062-dc46a2b542d5","16000000000","32","3","0","0","1","1","1","1","1","1","1","1","1","1","1","1","ho-chi-minh","villas","0","fully"
"Cáº§n bÃ¡n nhanh nhÃ  khÃ¡ch sáº¡n á»Ÿ Trung Má»¹ TÃ¢y","10400000000","29","0","744.2","0","1","1","0","0","0","0","1","0","0","0","0","0","thua-thien-hue","houses","0",""
"acb87b60-745f-4661-8ed9-b2c9b315a558","49000000000","28","28","309","5","1","1","1","1","1","1","1","1","1","1","1","1","ho-chi-minh","houses","0","fully"
"2c54f21f-397f-46d0-8836-77f12deb5dd2","490000000","24","24","450","2","0","0","0","0","0","0","0","0","0","0","0","0","binh-duong","houses","0","fully"
"67bb7408-d266-4187-9555-b47d7198d147","78500000000","23","0","1000","5","0","0","0","0","0","0","0","0","0","0","0","0","ho-chi-minh","villas","0",""
"f7fb8db9-86f0-4e6d-a06a-4e9563635f92","15000000000","22","23","0","7","0","0","0","0","0","0","0","0","0","0","0","0","ho-chi-minh","houses","0",""
"f09c99e2-31a7-42f9-9515-f60a3a404c54","15000000000","22","23","0","7","0","0","0","0","0","0","0","0","0","0","0","0","ho-chi-minh","houses","0",""
"93e0a6ab-d4b4-4ba8-8870-5b71df743424","18000000000","22","23","0","7","0","0","0","0","0","0","0","0","0","0","0","0","ho-chi-minh","houses","0",""
"8812f9ec-3342-46c1-8c20-818cbcbe9a57","15000000000","22","23","0","7","0","0","0","0","0","0","0","0","0","0","0","0","ho-chi-minh","houses","0",""
"f5a759f1-24d9-4f82-bb78-ec4d134932cd","17700000000","22","23","0","7","0","0","0","0","0","0","0","0","0","0","0","0","ho-chi-minh","houses","0",""
"e5d8fb89-4799-4404-96ab-e703760fd51f","17800000000","22","23","0","7","0","0","0","0","0","0","0","0","0","0","0","0","ho-chi-minh","houses","0",""
"51209b07-82d7-4e22-836b-b5f7b8ae855c","17800000000","22","23","0","7","0","0","0","0","0","0","0","0","0","0","0","0","ho-chi-minh","houses","0",""
"f045d474-e8e1-48ee-beff-f99f6def98d8","45000000000","22","22","135","5","1","1","1","1","1","1","1","1","1","1","1","1","ho-chi-minh","houses","0","fully"
"f4b30491-ed2b-49b7-ba69-57a0c80af421","45000000000","22","22","135","5","1","1","1","1","1","1","1","1","1","1","1","1","ho-chi-minh","houses","0","fully"
"dcfd3f1d-f342-4704-aac5-d52c00e341b9","28500000000","22","22","0","4","1","1","1","0","1","0","1","1","1","1","0","1","quang-nam","villas","0","fully"
"4ab81685-72c1-4cb7-a559-0974fc6a1fc8","28000000000","22","22","0","4","1","1","1","0","1","1","1","1","1","0","0","1","quang-nam","villas","0",""
"60574","3900000000","22","2","88","0","0","0","0","0","0","0","0","0","0","0","0","0","ho-chi-minh","apartments","0",""
"6df9b779-57f4-4c10-ae06-1af03b6d62bc","39900000000","20","21","0","7","0","0","0","0","0","0","0","0","0","0","0","0","ho-chi-minh","houses","0",""
"f3976e32-aae0-46b9-84ae-8d2ad813cff1","19000000000","20","21","0","6","0","0","0","0","0","0","0","0","0","0","0","0","ho-chi-minh","houses","0",""
"157919dc-2ef6-4119-8f72-82eb16e4d1c5","38000000000","20","20","1200","0","1","1","1","1","1","1","1","1","1","1","1","1","ho-chi-minh","condos","0","fully"
"959a0e47-7ef7-472f-a9d7-84e609dc3489","17900000000","20","20","80","6","0","0","0","0","0","0","0","0","0","0","0","0","ho-chi-minh","houses","0",""
"d7badaa9-bca0-4e9b-a122-057fb7f9537d","900000000","18","18","300","1","0","0","0","0","0","0","0","0","0","0","0","0","binh-duong","houses","0",""
"33fabbd1-25a6-4d8e-b323-854676013666","11500000000","17","18","0","5","0","0","0","0","0","0","0","0","0","0","0","0","ho-chi-minh","houses","0",""
"76641","73195000000","17","0","808","0","0","0","0","0","0","0","0","0","0","0","0","0","ho-chi-minh","houses","0",""
"cc5e4820-a54a-4c3a-8206-5b90893ace1a","10500000000","16","17","0","5","0","0","0","0","0","0","0","0","0","0","0","0","ho-chi-minh","houses","0",""
"971b4c2a-80ba-4232-890d-6d3f634a5a58","10400000000","16","17","0","5","0","0","0","0","0","0","0","0","0","0","0","0","","houses","0",""
"f9f7e533-4cea-4653-bd7d-4fb962acff4f","58000000000","16","16","83","6","1","1","1","1","1","1","1","1","1","1","0","1","ho-chi-minh","houses","0","fully"
"ed08076b-0f52-46cf-b6d7-5f393a82b706","1100000000","16","16","300","1","0","0","0","0","1","0","1","0","0","0","0","0","binh-duong","houses","0",""
"2a245865-5ce5-4d4f-931b-8f2922ae776e","900000000","16","16","150","1","0","0","0","0","0","0","0","0","0","0","0","0","binh-duong","houses","0",""
"946a38c9-a44e-49c2-b14a-9be221c4ac5f","1200000000","16","16","300","1","0","0","0","0","0","0","0","0","0","0","0","0","binh-duong","houses","0",""
"ceafab21-e9e8-46bc-b1b2-fe28f69c249d","10500000000","15","16","0","5","0","0","0","0","0","0","0","0","0","0","0","0","ho-chi-minh","houses","0",""
"3ca5fb51-4e18-4b50-ab26-2eb65630b98b","9900000000","15","15","470","6","1","1","1","1","1","1","1","1","1","1","1","1","ba-ria-vung-tau","villas","0","partly"
"8b213e8f-fd0a-45dd-a0e5-78f8018fdcda","10500000000","14","15","0","5","0","0","0","0","0","0","0","0","0","0","0","0","ho-chi-minh","houses","0",""
"78cbdd08-a74c-47a0-8eae-ee287e3709b5","10400000000","14","15","0","5","0","0","0","0","0","0","0","0","0","0","0","0","","houses","0",""
"3dde0062-ce7e-4fc3-8c0f-5e88357e3fd7","43000000000","14","14","301","4","1","1","1","1","1","1","1","1","1","1","1","1","ho-chi-minh","villas","0","fully"
"c8b9bdb6-0f20-4491-ab7d-8940f58e9d15","13500000000","14","14","202","4","1","0","1","0","1","1","1","0","0","1","0","1","quang-nam","villas","0","fully"
"e8e66220-f486-4540-a303-cbdd9fbef206","1600000000","13","15","300","2","0","0","0","0","0","0","0","0","0","0","0","0","binh-duong","houses","0",""
"288349f6-0b27-4fb1-b9cd-6d9b250e72bd","17000000000","13","13","82","8","1","1","1","1","1","1","1","1","1","1","1","1","ho-chi-minh","houses","0","fully"
"cb520839-5e69-457f-8b32-a1a80faf4eb7","13500000000","13","13","300","0","0","0","0","0","0","0","0","0","0","0","0","0","ha-noi","villas","0",""
"0fc0b671-e977-4722-a7a7-a43f11484223","35000000000","12","14","0","4","0","0","0","0","0","0","0","1","0","0","0","1","ho-chi-minh","villas","0",""
"1442b4d0-7afa-4f1b-ab87-f9c52f983a27","17500000000","12","13","0","5","0","0","0","0","0","0","0","0","0","0","0","0","ho-chi-minh","houses","0",""
"de9b52fc-9e70-45cb-bb76-b1b47dc6ae0d","14000000000","12","12","0","4","1","1","1","0","1","1","1","1","1","1","0","1","quang-nam","villas","0",""
"53df0585-b40f-4e18-947c-7f3df4f60f81","41790000000","12","10","473.8","3","1","1","0","0","1","0","1","1","0","1","0","0","ho-chi-minh","villas","0","partly"
"123642db-71e8-4510-bad4-8fa70fca3d6f","58000000000","12","0","440","3","0","0","0","0","0","0","0","0","0","0","0","0","ho-chi-minh","villas","0",""
"919f2185-d58c-481e-aaf4-edc6223971bf","15500000000","11","12","420","6","0","0","0","0","0","0","0","0","0","0","0","0","ho-chi-minh","houses","0",""
"5c2c9e8c-ec82-4b62-a653-815783d77fee","15500000000","11","12","450","6","0","0","0","0","0","0","0","0","0","0","0","0","ho-chi-minh","houses","0",""
"162156c1-22d4-4ca4-b65d-812d2d88d996","15500000000","11","12","420","6","0","0","0","0","0","0","0","0","0","0","0","0","ho-chi-minh","houses","0",""
"ff20422c-b27e-4309-905b-94eb42fb94a8","18800000000","11","12","0","5","0","0","0","0","0","0","0","0","0","0","0","0","ho-chi-minh","houses","0",""
"06e98ded-d610-45e2-8902-305a042741bb","185000000000","11","11","194","11","1","1","1","1","1","1","1","1","1","1","1","1","ho-chi-minh","houses","0","fully"
"HN-Estella Heights-Middle floor","5500000000","11","1","53.9","0","1","1","1","1","1","1","1","1","1","1","1","1","","condos","0","partly"
"109e1ce2-7e27-46b5-afee-6a5452623dd2","55000000000","11","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","ho-chi-minh","houses","0","fully"
"20e83c54-1ce6-4e57-a0c4-451f501bc4bb","43000000000","10","20","153","8","1","1","1","1","1","1","1","1","1","1","1","1","ho-chi-minh","houses","0","fully"
